subject_id,timepoints,raw_rois,raw_rois_match_expected,nan_pct,null_channels_pct,univ_outliers_pct,mv_outliers_count,mv_outliers_pct,mv_analysis_method,mv_skipped_reason,discard_low_tp,discard_high_nan,discard_high_univ,discard_high_mv,discard_mv_skipped,to_discard_overall
135_S_7003,200,170,True,2.353,0.000,1.148,16,8.000,MCD,,False,False,False,False,False,False
136_S_4269,140,170,True,2.353,0.000,0.215,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4408,140,170,True,2.353,0.000,0.211,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4433,140,170,True,2.353,0.000,0.103,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4517,140,170,True,2.353,0.000,0.495,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4726,140,170,True,2.353,0.000,0.503,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4727,140,170,True,2.353,0.000,0.219,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4836,140,170,True,2.353,0.000,0.284,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4848,140,170,True,2.353,0.000,0.237,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4932,140,170,True,2.353,0.000,0.478,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4956,140,170,True,2.353,0.000,0.146,0,0.000,LedoitWolf,,False,False,False,False,False,False
136_S_4993,140,170,True,2.353,0.000,0.224,0,0.000,LedoitWolf,,False,False,False,False,False,False
141_S_2333,197,170,True,2.353,0.000,0.229,15,7.614,MCD,,False,False,False,False,False,False
141_S_4160,197,170,True,2.353,0.000,0.070,15,7.614,MCD,,False,False,False,False,False,False
168_S_6142,197,170,True,2.353,0.000,0.957,15,7.614,MCD,,False,False,False,False,False,False
168_S_6735,197,170,True,2.353,0.000,0.394,15,7.614,MCD,,False,False,False,False,False,False
168_S_6754,197,170,True,2.353,0.000,0.141,15,7.614,MCD,,False,False,False,False,False,False
168_S_6827,197,170,True,2.353,0.000,0.153,15,7.614,MCD,,False,False,False,False,False,False
168_S_6828,197,170,True,2.353,0.000,0.260,15,7.614,MCD,,False,False,False,False,False,False
168_S_6843,197,170,True,2.353,0.000,0.291,15,7.614,MCD,,False,False,False,False,False,False
168_S_6921,197,170,True,2.353,0.000,0.110,15,7.614,MCD,,False,False,False,False,False,False
168_S_6938,197,170,True,2.353,0.000,0.315,15,7.614,MCD,,False,False,False,False,False,False
177_S_6328,197,170,True,2.353,0.000,0.089,15,7.614,MCD,,False,False,False,False,False,False
177_S_6335,197,170,True,2.353,0.000,0.104,15,7.614,MCD,,False,False,False,False,False,False
177_S_6408,197,170,True,2.353,0.000,0.040,15,7.614,MCD,,False,False,False,False,False,False
177_S_6409,197,170,True,2.353,0.000,0.309,15,7.614,MCD,,False,False,False,False,False,False
177_S_6420,197,170,True,2.353,0.000,0.131,15,7.614,MCD,,False,False,False,False,False,False
177_S_6448,197,170,True,2.353,0.000,0.080,15,7.614,MCD,,False,False,False,False,False,False
301_S_6056,197,170,True,2.353,0.000,0.615,15,7.614,MCD,,False,False,False,False,False,False
301_S_6224,197,170,True,2.353,0.000,0.618,15,7.614,MCD,,False,False,False,False,False,False
301_S_6297,197,170,True,2.353,0.000,0.300,15,7.614,MCD,,False,False,False,False,False,False
301_S_6326,197,170,True,2.353,0.000,0.297,15,7.614,MCD,,False,False,False,False,False,False
301_S_6501,197,170,True,2.353,0.000,0.722,15,7.614,MCD,,False,False,False,False,False,False
301_S_6508,197,170,True,2.353,0.000,0.382,15,7.614,MCD,,False,False,False,False,False,False
301_S_6592,197,170,True,2.353,0.000,0.144,15,7.614,MCD,,False,False,False,False,False,False
301_S_6615,197,170,True,2.353,0.000,0.214,15,7.614,MCD,,False,False,False,False,False,False
301_S_6698,197,170,True,2.353,0.000,0.330,15,7.614,MCD,,False,False,False,False,False,False
301_S_6777,197,170,True,2.353,0.000,0.095,15,7.614,MCD,,False,False,False,False,False,False
301_S_6811,197,170,True,2.353,0.000,0.251,15,7.614,MCD,,False,False,False,False,False,False
305_S_6157,197,170,True,2.353,0.000,0.086,15,7.614,MCD,,False,False,False,False,False,False
305_S_6188,197,170,True,2.353,0.000,0.147,15,7.614,MCD,,False,False,False,False,False,False
305_S_6313,197,170,True,2.353,0.000,0.529,15,7.614,MCD,,False,False,False,False,False,False
305_S_6438,197,170,True,2.353,0.000,0.101,15,7.614,MCD,,False,False,False,False,False,False
305_S_6498,197,170,True,2.353,0.000,0.107,15,7.614,MCD,,False,False,False,False,False,False
305_S_6742,197,170,True,2.353,0.000,1.358,15,7.614,MCD,,False,False,False,False,False,False
305_S_6744,197,170,True,2.353,0.000,0.196,15,7.614,MCD,,False,False,False,False,False,False
305_S_6810,197,170,True,2.353,0.000,0.119,15,7.614,MCD,,False,False,False,False,False,False
305_S_6845,197,170,True,2.353,0.000,0.336,15,7.614,MCD,,False,False,False,False,False,False
305_S_6850,197,170,True,2.353,0.000,0.101,15,7.614,MCD,,False,False,False,False,False,False
305_S_6871,197,170,True,2.353,0.000,0.089,15,7.614,MCD,,False,False,False,False,False,False
305_S_6877,197,170,True,2.353,0.000,0.135,15,7.614,MCD,,False,False,False,False,False,False
305_S_6881,197,170,True,2.353,0.000,0.116,15,7.614,MCD,,False,False,False,False,False,False
305_S_6899,197,170,True,2.353,0.000,0.171,15,7.614,MCD,,False,False,False,False,False,False
941_S_4036,197,170,True,2.353,0.000,0.193,15,7.614,MCD,,False,False,False,False,False,False
941_S_4187,197,170,True,2.353,0.000,0.388,15,7.614,MCD,,False,False,False,False,False,False
